"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
3.330352750E0,-1.768679591E-3,1.575311869E-1,3.654655218E-1
3.340390750E0,2.422759384E-1,1.532653272E-1,3.606570363E-1
3.350427750E0,1.118702665E-1,1.787131429E-1,3.105030358E-1
3.360465750E0,-1.908388734E-1,2.510495484E-1,3.770304918E-1
3.370503750E0,-1.778959036E-1,1.190347821E-1,3.909702599E-1
3.380540750E0,1.165756732E-1,-1.458798721E-2,3.367467225E-1
3.390578750E0,2.972746193E-1,1.371826380E-1,3.750483096E-1
3.400616750E0,1.220073029E-1,2.530390024E-1,4.511591196E-1
3.410653750E0,-1.195318177E-1,2.422220558E-1,3.687308133E-1
3.420691750E0,-1.212189123E-1,1.896001548E-1,2.871711254E-1
3.430729750E0,1.418220401E-1,1.684834212E-1,2.892683446E-1
3.440766750E0,2.230727971E-1,1.292532980E-1,2.255962789E-1
3.450804750E0,5.112341419E-2,1.128511578E-1,1.506141722E-1
3.460842750E0,-7.878144085E-2,2.635007501E-1,1.405895352E-1
3.470880750E0,-7.604198065E-3,3.306355774E-1,1.741131395E-1
3.480917750E0,1.398219913E-1,2.231602371E-1,1.269521117E-1
3.490955750E0,1.645582318E-1,1.950204968E-1,4.730602354E-2
3.500993750E0,7.816290483E-3,2.660768032E-1,5.076901987E-2
3.511029833E0,-5.440553650E-2,2.490679920E-1,3.846282139E-2
3.521067833E0,8.296509087E-2,2.408942133E-1,-3.652345017E-2
3.531105833E0,1.824940890E-1,2.424305826E-1,-8.842606097E-2
3.541142833E0,3.812333569E-2,2.950773239E-1,-1.547501385E-1
3.551180833E0,-1.307242811E-1,2.764975131E-1,-1.705626696E-1
3.561218833E0,-2.503287047E-2,9.596858919E-2,-2.588821054E-1
3.571255833E0,1.659205705E-1,1.600423753E-1,-3.503579795E-1
3.581293833E0,1.241379604E-1,2.406778038E-1,-3.072487712E-1
3.591331833E0,-6.958809495E-2,2.938230336E-1,-3.202596605E-1
3.601369833E0,2.669385076E-2,2.236090004E-1,-3.920128644E-1
3.611406833E0,1.116020828E-1,1.412304938E-1,-4.011413753E-1
3.621444833E0,1.173366457E-1,1.722869128E-1,-4.158987701E-1
3.631482833E0,2.607890591E-2,3.267262876E-1,-4.086933136E-1
3.641519833E0,-4.183235392E-2,2.653285861E-1,-3.992251158E-1
3.651557833E0,3.027113155E-2,2.486191243E-1,-4.474789202E-1
3.661595833E0,1.342036873E-1,2.066655904E-1,-4.853702188E-1
3.671632833E0,1.037920732E-2,1.972063184E-1,-4.436994493E-1
3.681670833E0,-9.440435469E-2,1.574075818E-1,-4.624644816E-1
3.691708833E0,8.098291606E-2,1.634028852E-1,-5.057623982E-1
3.701746833E0,1.579517126E-1,1.479328275E-1,-4.510954916E-1
3.711783833E0,8.806451410E-2,1.050412878E-1,-4.652909338E-1
3.721821833E0,-2.076514997E-2,2.018979639E-1,-4.501817524E-1
3.731859833E0,-3.449294344E-2,1.513927132E-1,-3.869881332E-1
3.741896833E0,-3.904954065E-3,1.837399602E-1,-3.891465366E-1
3.751934833E0,1.608123630E-1,7.676558197E-2,-3.739521503E-1
3.761972833E0,1.500075310E-1,1.716277897E-1,-3.695885837E-1
3.772009833E0,-1.040772069E-2,1.504498124E-1,-3.080791533E-1
3.782047833E0,-1.101317778E-1,2.015051544E-1,-2.829920650E-1
3.792085833E0,8.214043453E-3,1.844257712E-1,-3.022626936E-1
3.802122833E0,2.739466429E-1,1.149561480E-1,-2.505600750E-1
3.812160833E0,1.601119637E-1,1.567123830E-1,-2.401356548E-1
3.822198833E0,-1.759483516E-1,1.846214980E-1,-2.430925071E-1
3.832236833E0,-1.445086747E-1,1.329601556E-1,-2.288848013E-1
3.842273833E0,1.267283969E-2,8.595871925E-2,-2.227463424E-1
3.852311833E0,-1.833017170E-1,1.105135977E-1,-2.145821601E-1
