"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.656733395E2,-1.064436493E0,-5.175337830E0,9.594897308E0
1.656833765E2,-2.931054840E0,-6.471941528E0,7.639363861E0
1.656934135E2,1.017583923E0,-2.357597351E-1,1.231219666E1
1.657034505E2,2.568658447E-1,1.023152344E1,1.090781708E1
1.657134875E2,2.912942505E-1,8.643924866E0,8.132887573E0
1.657235245E2,-1.404529266E0,1.099613342E0,1.055110886E1
1.657335615E2,-1.772314453E0,-3.729045410E0,1.225561432E1
1.657435985E2,3.646417236E-1,-1.218765564E0,9.126820679E0
1.657536355E2,1.796264648E-1,4.129911804E0,6.508465576E0
1.657636725E2,7.801776123E-1,5.687722321E0,5.976471863E0
1.657737095E2,2.746788025E-1,6.557862854E0,7.649243317E0
1.657837465E2,-1.097068634E0,6.271807709E0,1.144205612E1
1.657937835E2,-1.846859436E0,3.500919800E0,1.172541687E1
1.658038215E2,-1.625619507E0,-1.583706665E0,9.447154541E0
1.658138585E2,-6.863227844E-1,-2.733465729E0,8.285121002E0
1.658238955E2,1.490899658E-1,2.669848022E0,9.806706848E0
1.658339325E2,-5.346881104E-1,7.550448761E0,1.122725281E1
1.658439695E2,-2.580783234E0,6.402635651E0,1.174113419E1
1.658540065E2,-1.538800049E0,3.251239014E-1,1.101993393E1
1.658640435E2,-7.125183105E-2,-2.562521210E0,1.144744492E1
1.658740805E2,-1.044976959E0,1.215921478E0,1.063358734E1
1.658841175E2,-1.507515106E0,7.327262878E0,5.331912231E0
1.658941545E2,-1.928888855E0,7.769892426E0,2.813698883E0
1.659041915E2,-1.545086975E0,3.249592438E0,6.534960480E0
1.659142285E2,-1.555265808E0,-2.750380554E0,1.241832596E1
1.659242655E2,-2.386786652E0,-2.220781860E0,1.353245911E1
1.659343030E2,-1.955234070E0,3.145558777E0,1.122051682E1
1.659443400E2,-1.022074585E0,6.632856903E0,1.016341507E1
1.659543770E2,-1.556762695E-2,4.835095367E0,9.618847504E0
1.659644140E2,2.917433167E-1,1.666783905E0,6.656058655E0
1.659744510E2,-5.523513794E-2,1.055604858E0,6.357130280E0
1.659844880E2,-6.762936401E-1,1.879641266E0,1.032088760E1
1.659945250E2,-1.767674103E0,1.218466187E0,1.613150436E1
1.660045620E2,-1.716480560E0,5.748046875E-1,1.498054779E1
1.660145990E2,-6.740483093E-1,2.117796021E0,9.443861389E0
1.660246360E2,3.936813354E-2,5.558391266E0,2.277064819E0
1.660346730E2,-4.222718811E-1,4.374503174E0,6.383026428E0
1.660447100E2,-1.874551849E0,6.752458191E-1,1.068882248E1
1.660547470E2,-9.442364502E-1,1.781295776E-2,7.932454376E0
1.660647840E2,9.095086670E-1,4.551435242E0,4.881349182E0
1.660748210E2,3.638932800E-1,5.682333527E0,9.836644592E0
1.660848580E2,-1.941911774E0,-1.136586456E0,1.744666946E1
1.660948950E2,-3.571722565E0,-6.451883240E0,1.635558838E1
1.661049320E2,-1.053359528E0,-2.048340454E0,1.172092621E1
1.661149690E2,8.322692871E-1,8.068671112E0,9.160949707E0
1.661250060E2,-4.153862000E-1,1.175400742E1,3.297343140E0
1.661350430E2,-9.449848938E-1,6.374344482E0,4.772675171E0
1.661450800E2,-9.639953613E-1,1.446891174E0,7.740104370E0
1.661551170E2,-3.459306335E-1,1.675166473E0,7.657176819E0
1.661651540E2,-1.083446960E0,1.811832275E0,1.098131424E1
1.661751910E2,-1.459764404E0,-1.692530365E0,1.501482651E1
1.661852280E2,-8.780740356E-1,-1.437460785E0,1.199291061E1
1.661952650E2,6.020480347E-1,5.910758514E0,8.273295593E0
1.662053020E2,1.542392578E0,1.171883057E1,6.349945221E0
1.662153390E2,-4.980143738E-1,6.910529480E0,7.842192078E0
1.662253760E2,-1.425485687E0,-3.399879913E0,1.054856415E1
1.662354130E2,2.859054565E-1,-6.857839050E0,9.834848328E0
1.662454500E2,1.833986206E0,7.873626709E-1,1.226758942E1
1.662554870E2,2.926414490E-1,9.497150574E0,1.219543945E1
1.662655250E2,-7.393125916E-1,6.022725677E0,9.376501465E0
1.662755620E2,-1.243763580E0,-1.828597412E0,8.863069153E0
1.662855990E2,1.057700500E0,-3.206931152E0,1.004920258E1
1.662956360E2,2.145638123E0,4.769232330E0,9.135053558E0
1.663056730E2,-1.334025879E0,1.131212631E1,7.327262878E0
1.663157100E2,-2.881358185E0,6.189329224E0,7.679480438E0
1.663257470E2,-2.897225189E0,-9.226812744E-1,8.828790436E0
1.663357840E2,-2.395019531E-2,-3.200344849E0,9.160051575E0
1.663458210E2,1.183888092E0,2.281705170E0,9.438173218E0
1.663558580E2,-2.380050659E-1,6.131998444E0,1.039707916E1
1.663658950E2,-5.010081482E-1,4.598886566E0,9.906998291E0
1.663759320E2,-2.421963501E-1,3.137924652E0,8.882977753E0
1.663859690E2,1.395697632E0,3.155737610E0,8.199049988E0
1.663960060E2,4.649331665E-1,3.881129150E0,9.348958740E0
1.664060430E2,-1.433568878E0,2.301015015E0,1.081396225E1
1.664160800E2,-1.438059540E0,1.710942078E-1,1.200503540E1
1.664261170E2,7.674540710E-1,8.506809998E-1,1.222253311E1
1.664361540E2,1.361269226E0,3.694766693E0,1.015952316E1
1.664461910E2,-2.287243652E-1,4.827610931E0,7.442074127E0
1.664562280E2,-1.242117004E0,3.552712097E0,6.079906769E0
1.664662650E2,-9.741741943E-1,2.506687317E0,5.771697693E0
1.664763020E2,4.846920776E-1,2.255958710E0,7.137756958E0
1.664863390E2,1.293160858E0,1.524130554E0,9.304351501E0
1.664963760E2,2.171983337E-1,1.212478638E-1,1.098296082E1
1.665064130E2,-1.435963898E0,-6.563850403E-1,1.391775787E1
1.665164500E2,-1.501677246E0,4.397854614E-1,1.432431244E1
1.665264870E2,-1.859133911E-1,2.255509644E0,1.185130508E1
1.665365240E2,5.113366699E-1,3.707789612E0,7.982749786E0
1.665465610E2,-3.954776001E-1,4.091142426E0,5.955814819E0
1.665565980E2,-1.202299805E0,3.588188324E0,7.458539886E0
1.665666350E2,-1.204844513E0,1.540746002E0,1.128967300E1
1.665766720E2,-9.753717041E-1,1.223555603E0,8.892857208E0
1.665867090E2,2.348616028E-1,2.309996338E0,6.459966431E0
1.665967460E2,-1.154100037E-1,3.466341705E0,7.530390472E0
1.666067830E2,-9.705816650E-1,2.150877228E0,1.021535706E1
1.666168200E2,-8.457412720E-1,-9.714797974E-2,1.245709534E1
1.666268570E2,1.585203552E-1,1.284329224E0,1.232551895E1
1.666368940E2,1.126856689E0,5.542524261E0,1.052805679E1
1.666469310E2,9.632469177E-1,5.701493683E0,8.777147827E0
1.666569680E2,-9.131011963E-3,1.428180084E0,8.339607697E0
1.666670060E2,-5.906716919E-1,-2.099084930E0,7.364235992E0
1.666770420E2,8.107141113E-1,4.778063965E-1,6.119873657E0
1.666870800E2,9.455836487E-1,5.109474792E0,8.965605927E0
1.666971170E2,4.296066284E-2,5.070106659E0,1.242715759E1
1.667071540E2,-8.611592102E-1,2.345173187E0,1.181942139E1
1.667171910E2,-7.716453552E-1,2.346819763E0,1.184456909E1
1.667272280E2,1.097817078E0,5.905669098E0,9.948013000E0
1.667372650E2,1.226848755E0,7.229216766E0,7.591912537E0
1.667473020E2,-4.053570557E-1,2.484832764E0,8.467741241E0
1.667573390E2,-1.142424316E0,-1.835483093E0,9.615105286E0
1.667673760E2,6.924600220E-1,3.920347595E-1,8.784931641E0
1.667774130E2,2.071991272E0,5.914351044E0,9.108558655E0
1.667874500E2,1.521885223E0,6.271508331E0,1.025891647E1
1.667974870E2,-1.499880981E0,7.095245361E-1,1.145313309E1
1.668075240E2,-3.029100952E0,-2.845283203E0,1.117486176E1
1.668175610E2,-1.016685791E0,3.547622681E-1,1.009874954E1
1.668275980E2,4.429289246E-1,6.615343323E0,9.004974060E0
1.668376350E2,4.787045288E-1,6.568939819E0,7.926167450E0
1.668476720E2,-1.880090332E0,1.528471527E0,8.145760803E0
1.668577090E2,-2.488425293E0,-1.398541718E0,9.109606476E0
1.668677460E2,-6.605763245E-1,6.619235229E-1,1.050725006E1
1.668777830E2,4.960684204E-1,4.857548676E0,9.091344452E0
1.668878200E2,8.023315430E-1,5.094805298E0,8.465196533E0
1.668978570E2,-5.755531311E-1,2.976859589E0,1.006222549E1
1.669078940E2,-1.572480011E0,2.151026917E0,8.854536896E0
1.669179310E2,-2.155667267E0,2.333347778E0,9.245972900E0
1.669279681E2,-2.246079254E0,3.162922668E0,9.945168915E0
1.669380051E2,-1.488055573E0,3.385360107E0,9.648934937E0
1.669480421E2,-1.643282776E0,3.594924316E0,9.270671539E0
1.669580791E2,-1.785636749E0,2.715203705E0,9.952653351E0
1.669681161E2,-1.643282776E0,1.684297485E0,9.490264893E0
1.669781531E2,-2.086062012E0,1.462907867E0,9.828561401E0
1.669881901E2,-1.316961365E0,2.447410583E0,1.053883438E1
1.669982271E2,-4.772076416E-1,2.568808136E0,1.212688202E1
1.670082641E2,-9.803114319E-1,2.290237427E0,1.212568451E1
1.670183011E2,-4.733157349E-1,1.908980255E0,1.013647110E1
1.670283381E2,3.534150696E-1,3.054098969E0,8.585995331E0
1.670383751E2,-1.971400452E-1,4.477189636E0,7.812703400E0
1.670484121E2,-1.411864014E0,3.714675293E0,7.883206787E0
1.670584491E2,-1.798210602E0,1.307381287E0,9.945168915E0
1.670684871E2,-7.872129822E-1,4.580474854E-2,1.127545258E1
1.670785241E2,3.712280273E-1,1.745520172E0,9.851314087E0
1.670885611E2,-2.775228882E-1,3.682043152E0,9.004225616E0
1.670985981E2,-1.600920868E0,3.812571716E0,9.053024139E0
1.671086351E2,-1.232536926E0,2.402803345E0,8.707692261E0
1.671186721E2,-6.908134460E-1,1.175206146E0,9.316326599E0
1.671287091E2,-4.311035156E-2,1.484313354E0,9.674082642E0
1.671387461E2,-5.099894714E-1,2.945724335E0,9.990973663E0
1.671487831E2,-1.006506958E0,3.578608246E0,9.507479095E0
1.671588201E2,-6.511459351E-1,2.545007629E0,9.219477997E0
1.671688571E2,-7.774832153E-1,1.267115021E0,9.493258667E0
1.671788941E2,-1.044827271E-1,1.791025543E0,9.868378601E0
1.671889311E2,2.176473999E-1,4.247417450E0,1.006926086E1
1.671989681E2,-9.536668396E-1,5.432353363E0,9.722881165E0
1.672090051E2,-1.902543640E0,3.886817322E0,1.008872040E1
1.672190421E2,-1.673220520E0,1.548380127E0,9.851463776E0
1.672290791E2,-6.480024719E-1,6.438111877E-1,9.528585205E0
1.672391161E2,1.953437805E-1,1.821262665E0,8.584348755E0
1.672491531E2,-5.492079163E-1,2.990331573E0,8.474926300E0
1.672591901E2,-1.080004120E0,3.185675354E0,9.679172058E0
1.672692271E2,-6.304888916E-1,2.276765442E0,1.035441788E1
1.672792641E2,-1.514849854E-1,2.012265472E0,9.687255249E0
1.672893011E2,3.950285339E-1,2.109563141E0,9.067244568E0
1.672993381E2,6.532415771E-1,1.883084106E0,1.008258316E1
1.673093751E2,-2.664459229E-1,1.200054474E0,1.050530411E1
1.673194121E2,-4.099974060E-1,5.519023132E-1,1.080168777E1
1.673294491E2,3.143463135E-2,2.205663300E0,9.727371826E0
1.673394861E2,1.544787598E-1,4.625231781E0,7.572453003E0
1.673495231E2,-8.053253174E-2,4.755011902E0,7.424859924E0
1.673595601E2,-4.668791199E-1,1.876946869E0,1.052102142E1
