"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
3.650435524E2,8.815168762E-1,5.307363281E0,7.882907410E0
3.650535924E2,4.314028931E-1,2.660417633E0,1.145238464E1
3.650636324E2,-8.918453979E-1,-1.161584473E-1,1.331810486E1
3.650736724E2,-7.312294006E-1,1.313069458E0,1.145672562E1
3.650837124E2,2.908451843E-1,6.027366028E0,6.649771729E0
3.650937524E2,6.315367126E-1,8.614735565E0,3.915407867E0
3.651037924E2,1.466949463E-2,5.633235626E0,7.030130768E0
3.651138334E2,-1.135388947E0,1.678459625E0,1.049467621E1
3.651238734E2,-1.172212372E0,7.026388550E-1,1.197225357E1
3.651339134E2,-3.228785706E-1,4.523144073E0,9.513167267E0
3.651439534E2,6.771917725E-1,7.623945923E0,6.731801147E0
3.651539934E2,3.629951477E-1,5.917793884E0,6.323001251E0
3.651640334E2,-1.335522766E0,1.552721100E0,1.057745407E1
3.651740734E2,-8.234376526E-1,-8.047265625E-1,1.388767044E1
3.651841134E2,1.692979431E-1,3.161725159E0,1.159324173E1
3.651941534E2,3.891906738E-2,7.107370148E0,7.910150757E0
3.652041944E2,2.942880249E-1,5.607489166E0,6.987619171E0
3.652142344E2,-1.161135406E0,2.201322327E0,9.635163574E0
3.652242744E2,-1.006956024E0,1.030157776E0,1.103041214E1
3.652343144E2,5.858816528E-1,3.555705872E0,9.602381744E0
3.652443544E2,3.716770935E-1,7.212601318E0,4.130061493E0
3.652543944E2,-9.419911194E-1,5.727539520E0,5.009033661E0
3.652644344E2,-1.905387726E0,8.390052795E-1,1.196641571E1
3.652744744E2,-7.128176880E-1,-2.219734039E0,1.810979050E1
3.652845144E2,1.054257660E0,1.603615265E0,1.346165634E1
3.652945554E2,-7.065307617E-2,7.449708252E0,6.090834045E0
3.653045954E2,-1.853595428E0,7.965535583E0,5.022056580E0
3.653146354E2,-3.096460876E0,4.299658813E0,8.309669952E0
3.653246754E2,-2.715952148E0,1.016536102E0,1.336301147E1
3.653347154E2,8.896000671E-1,1.529519348E0,1.158336227E1
3.653447554E2,1.715881805E0,7.410639496E0,5.711822205E0
3.653547954E2,-3.345542908E-1,9.589059448E0,4.145479431E0
3.653648354E2,-2.446811829E0,5.354814606E0,8.627309418E0
3.653748754E2,-3.478765869E0,1.498384094E0,1.136137390E1
3.653849164E2,-1.317111053E0,4.311035156E-1,1.083821182E1
3.653949564E2,9.119036865E-1,3.237018585E0,9.233399048E0
3.654049964E2,8.081694031E-1,4.437522125E0,8.374485168E0
3.654150364E2,-1.803150330E0,2.547402649E0,9.886940002E0
