"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
1.557750698E2,4.816456946E1,1.156215383E1,5.146019747E2,5.395305157E0,9.566634793E1,8.001208274E0,8.001208274E0
1.567750682E2,4.816456366E1,1.156222083E1,5.146866619E2,5.209419727E0,9.252071114E1,8.001208274E0,8.001208274E0
1.577750665E2,4.816455665E1,1.156229048E1,5.147731885E2,5.209419727E0,9.111390391E1,8.001208274E0,8.001208274E0
1.587750647E2,4.816456497E1,1.156236908E1,5.148227652E2,5.240800381E0,8.787740511E1,8.001208274E0,8.001208274E0
1.597750640E2,4.816456287E1,1.156244039E1,5.148634285E2,5.240800381E0,9.146130782E1,8.001208274E0,8.001208274E0
1.607750626E2,4.816456287E1,1.156251551E1,5.148872153E2,4.872169971E0,8.774467404E1,8.001208274E0,8.001208274E0
1.617750605E2,4.816455676E1,1.156259019E1,5.149018986E2,4.822935104E0,9.495006599E1,8.001208274E0,8.001208274E0
1.627750593E2,4.816454673E1,1.156264589E1,5.149036416E2,4.493850231E0,9.599818584E1,8.001208274E0,8.001208274E0
1.637750579E2,4.816453841E1,1.156270096E1,5.148917859E2,4.168279648E0,9.553847313E1,8.001208274E0,8.001208274E0
1.647750566E2,4.816453826E1,1.156276486E1,5.148729673E2,4.347917080E0,7.101680310E1,8.001208274E0,8.001208274E0
1.657750552E2,4.816455356E1,1.156282568E1,5.148598794E2,4.347917080E0,7.554815550E1,8.001208274E0,8.001208274E0
1.667750535E2,4.816457034E1,1.156288866E1,5.148473096E2,4.895524502E0,8.073052739E1,8.001208274E0,8.001208274E0
1.677750533E2,4.816457909E1,1.156295886E1,5.148212235E2,4.895524502E0,8.304791495E1,6.000906205E0,6.000906205E0
1.687750506E2,4.816458328E1,1.156302841E1,5.147680778E2,4.593415737E0,8.175891482E1,6.000906205E0,6.000906205E0
1.697750496E2,4.816460207E1,1.156308609E1,5.146906929E2,4.906340599E0,8.502896351E1,6.000906205E0,6.000906205E0
