"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
1.326905265E2,4.816775148E1,1.155437300E1,5.145777396E2,3.693936348E0,3.432950339E2,6.000906205E0,6.000906205E0
1.336905204E2,4.816779539E1,1.155434765E1,5.146328224E2,3.958100796E0,3.429820746E2,6.000906205E0,6.000906205E0
1.346905149E2,4.816783663E1,1.155432585E1,5.147230902E2,4.088537216E0,3.442208250E2,4.000604137E0,4.000604137E0
1.356905097E2,4.816787291E1,1.155431331E1,5.148386294E2,4.367963314E0,3.459491361E2,4.000604137E0,4.000604137E0
1.366905043E2,4.816790890E1,1.155429229E1,5.149520266E2,4.367963314E0,3.410988002E2,8.001208274E0,8.001208274E0
1.376904978E2,4.816795215E1,1.155423551E1,5.150636166E2,4.367963314E0,3.306441848E2,6.000906205E0,6.000906205E0
1.386904933E2,4.816797929E1,1.155417572E1,5.151868361E2,4.517136097E0,3.202885252E2,6.000906205E0,6.000906205E0
1.396904876E2,4.816801009E1,1.155412491E1,5.152973209E2,4.448230267E0,3.171967991E2,6.000906205E0,6.000906205E0
1.406904808E2,4.816803972E1,1.155408680E1,5.153810440E2,4.625785828E0,3.125620786E2,6.000906205E0,6.000906205E0
1.416904769E2,4.816806837E1,1.155403463E1,5.154319883E2,4.625785828E0,3.097562369E2,6.000906205E0,6.000906205E0
1.426904706E2,4.816810051E1,1.155397639E1,5.154893227E2,4.708118916E0,3.094063946E2,6.000906205E0,6.000906205E0
1.436904657E2,4.816813065E1,1.155393679E1,5.156059082E2,4.708118916E0,3.089666670E2,6.000906205E0,6.000906205E0
1.446904596E2,4.816815835E1,1.155388585E1,5.157600594E2,4.582685947E0,3.080648362E2,6.000906205E0,6.000906205E0
1.456904540E2,4.816818339E1,1.155383597E1,5.159338425E2,4.582685947E0,3.063967127E2,6.000906205E0,6.000906205E0
1.466904485E2,4.816820725E1,1.155378350E1,5.161193665E2,4.490223408E0,3.012694536E2,6.000906205E0,6.000906205E0
1.476904429E2,4.816823026E1,1.155371203E1,5.162670632E2,4.490223408E0,2.909992260E2,6.000906205E0,6.000906205E0
1.486904370E2,4.816824968E1,1.155364233E1,5.163311615E2,4.582331181E0,2.983447940E2,6.000906205E0,6.000906205E0
1.496904317E2,4.816826838E1,1.155357441E1,5.162880779E2,4.982578754E0,2.958049198E2,6.000906205E0,6.000906205E0
1.506904268E2,4.816827962E1,1.155351330E1,5.161637989E2,4.982578754E0,2.927668790E2,6.000906205E0,6.000906205E0
1.516904204E2,4.816830465E1,1.155344160E1,5.160124488E2,4.982578754E0,2.925827644E2,6.000906205E0,6.000906205E0
1.526904161E2,4.816832586E1,1.155338220E1,5.157573175E2,4.980959892E0,2.935441545E2,6.000906205E0,6.000906205E0
1.536904098E2,4.816834682E1,1.155332714E1,5.154166066E2,4.890439034E0,2.934822730E2,6.000906205E0,6.000906205E0
1.546904038E2,4.816836145E1,1.155325336E1,5.152076332E2,4.994505405E0,2.906363518E2,6.000906205E0,6.000906205E0
1.556903987E2,4.816837664E1,1.155317877E1,5.152823169E2,4.994505405E0,2.898673817E2,6.000906205E0,6.000906205E0
1.566903932E2,4.816839139E1,1.155310633E1,5.155501612E2,4.980397701E0,2.845702149E2,6.000906205E0,6.000906205E0
1.576903882E2,4.816840034E1,1.155303048E1,5.159248278E2,4.979810715E0,2.788512428E2,6.000906205E0,6.000906205E0
1.586903821E2,4.816839854E1,1.155295898E1,5.162937519E2,4.979810715E0,2.675057795E2,6.000906205E0,6.000906205E0
1.596903765E2,4.816839038E1,1.155289486E1,5.165245530E2,5.235046387E0,2.658472183E2,6.000906205E0,6.000906205E0
1.606903707E2,4.816838557E1,1.155282239E1,5.166091017E2,5.599493980E0,2.693562963E2,6.000906205E0,6.000906205E0
1.616903657E2,4.816838790E1,1.155276146E1,5.166208524E2,5.599493980E0,2.731295934E2,4.000604137E0,4.000604137E0
1.626903598E2,4.816839609E1,1.155268010E1,5.166411437E2,5.599493980E0,2.731453574E2,4.000604137E0,4.000604137E0
1.636903542E2,4.816839334E1,1.155260557E1,5.167148586E2,5.551548004E0,2.731109606E2,6.000906205E0,6.000906205E0
1.646903493E2,4.816839217E1,1.155252734E1,5.167469493E2,5.591508389E0,2.731994525E2,6.000906205E0,6.000906205E0
1.656903439E2,4.816840443E1,1.155245310E1,5.167570249E2,5.625139236E0,2.721110209E2,6.000906205E0,6.000906205E0
1.666903381E2,4.816840388E1,1.155237134E1,5.168518007E2,5.625139236E0,2.674982117E2,6.000906205E0,6.000906205E0
